samples_per_symbol,normalized_cfo,estimated_normalized_cfo,absolute_error,honest
4,0.18,0.18000239434196436,2.3943419643623898e-06,True
4,0.19,0.19001953116126466,1.9531161264657593e-05,True
4,0.2,0.19998550843259577,1.4491567404240069e-05,True
4,0.21,0.2100185500609375,1.8550060937511104e-05,True
4,0.22,0.2200024342171136,2.4342171136004787e-06,True
4,0.23,0.22999699826250414,3.001737495872403e-06,True
4,0.24,0.23998098517605404,1.9014823945950887e-05,True
4,0.25,0.2499953867810267,4.613218973298361e-06,True
4,0.26,0.2599922286265272,7.771373472797993e-06,True
4,0.27,0.2700099654595305,9.9654595304699e-06,True
4,0.28,0.2799982640548398,1.7359451602305676e-06,True
4,0.29,0.2899911725695391,8.827430460878194e-06,True
4,0.3,0.30003697406744734,3.6974067447348435e-05,True
4,0.31,0.3099670508782861,3.294912171392106e-05,True
4,0.32,0.3200285258643542,2.8525864354200792e-05,True
4,0.33,0.3300007696079929,7.696079928898314e-07,True
4,0.34,0.34000420259335895,4.202593358926254e-06,True
4,0.35,0.35000207193410293,2.0719341029540317e-06,True
4,0.36,0.36002674451338673,2.6744513386744995e-05,True
4,0.37,0.3699959103535,4.089646500005095e-06,True
4,0.38,0.3799854981761595,1.450182384049592e-05,True
4,0.39,0.3900172288968055,1.7228896805498994e-05,True
4,0.4,0.40001497674299497,1.4976742994943226e-05,True
4,0.41,0.4100158169794842,1.5816979484217786e-05,True
4,0.42,0.41999976093796326,2.3906203672208193e-07,True
4,0.43,0.4299995589397298,4.410602701954147e-07,True
4,0.44,0.44002311996827886,2.311996827886187e-05,True
4,0.45,0.4500138650156724,1.3865015672409609e-05,True
4,0.46,0.460006682617846,6.682617845976679e-06,True
4,0.47,0.4700166172641738,1.6617264173846014e-05,True
4,0.48,0.48000939918706126,9.399187061276404e-06,True
4,0.49,0.48999520918788814,4.790812111854503e-06,True
4,0.5,-0.4999952173214489,0.9999952173214489,False
4,0.51,-0.4899540730190415,0.9999540730190415,False
4,0.52,-0.47998486853556976,0.9999848685355698,False
4,0.53,-0.47004229326957736,1.0000422932695774,False
4,0.54,-0.45999818631888933,0.9999981863188894,False
4,0.55,-0.4499782201654547,0.9999782201654548,False
4,0.56,-0.4399791178141504,0.9999791178141504,False
4,0.57,-0.429996760253955,0.999996760253955,False
4,0.58,-0.4200143303545577,1.0000143303545577,False
4,0.59,-0.40998771231399544,0.9999877123139954,False
4,0.6,-0.39998874782770255,0.9999887478277025,False
4,0.61,-0.3899949745572011,0.9999949745572011,False
4,0.62,-0.38003856557216714,1.000038565572167,False
4,0.63,-0.37001989313742706,1.0000198931374271,False
4,0.64,-0.3599998535776647,0.9999998535776646,False
4,0.65,-0.35000812218590915,1.0000081221859092,False
