rolloff,normalized_cfo,fourth_power_estimate,fourth_power_absolute_error,band_edge_imbalance
0.2,-0.4,-0.3996698554512219,0.0003301445487781107,-0.06431023868298416
0.2,-0.375,-0.3746698554512236,0.0003301445487763899,-0.06454136098521178
0.2,-0.35,-0.34966985545122314,0.00033014454877683397,-0.06318948496368514
0.2,-0.325,-0.3246698554512226,0.0003301445487773891,-0.06161643174752684
0.2,-0.3,-0.29966985545122166,0.00033014454877833277,-0.06108471211488338
0.2,-0.275,-0.2746698554512228,0.00033014454877722255,-0.06170904969964594
0.2,-0.25,-0.2496698554512223,0.0003301445487776944,-0.0622766442940742
0.2,-0.225,-0.22466985545122303,0.00033014454877697275,-0.060697268566511114
0.2,-0.2,-0.1996698554512222,0.0003301445487778054,-0.05545874352005455
0.2,-0.175,-0.17466985545122285,0.0003301445487771393,-0.0478186845643122
0.2,-0.15,-0.1496698554512221,0.0003301445487778887,-0.04170903136345709
0.2,-0.125,-0.12466985545122242,0.00033014454877758337,-0.03979620741251019
0.2,-0.1,-0.09966985545122238,0.000330144548777625,-0.040174146041760624
0.2,-0.075,-0.07466985545122232,0.0003301445487776805,-0.03803477199306395
0.2,-0.05,-0.04966985545122245,0.0003301445487775556,-0.02992408671022115
0.2,-0.025,-0.024669855451222477,0.0003301445487775244,-0.015991048961585468
0.2,0.0,0.00033014454877748525,0.00033014454877748525,0.0007640595930584519
0.2,0.025,0.025330144548777453,0.00033014454877745153,0.016615983275493768
0.2,0.05,0.05033014454877741,0.0003301445487774099,0.029139543396342248
0.2,0.075,0.07533014454877726,0.0003301445487772642,0.038064721904467025
0.2,0.1,0.10033014454877734,0.00033014454877733357,0.04427239176213938
0.2,0.125,0.1253301445487774,0.0003301445487773891,0.048427368835545034
0.2,0.15,0.15033014454877705,0.000330144548777056,0.05116160155670737
0.2,0.175,0.1753301445487778,0.0003301445487778054,0.05317170774258191
0.2,0.2,0.20033014454877718,0.00033014454877716704,0.05398504611758953
0.2,0.225,0.225330144548778,0.0003301445487779997,0.0524201721185023
0.2,0.25,0.2503301445487773,0.00033014454877727806,0.04918926285858142
0.2,0.275,0.27533014454877774,0.00033014454877772215,0.04690247715020403
0.2,0.3,0.3003301445487766,0.0003301445487766119,0.04708272029423296
0.2,0.325,0.3253301445487776,0.0003301445487776111,0.04961016386077007
0.2,0.35,0.3503301445487782,0.00033014454877822175,0.054514061610041055
0.2,0.375,0.37533014454877855,0.0003301445487785548,0.06101821033309441
0.2,0.4,0.4003301445487769,0.0003301445487768895,0.06576908448116256
0.2,0.425,0.4253301445487774,0.0003301445487773891,0.06535759960422667
0.2,0.45,0.4503301445487785,0.0003301445487784993,0.05998804383678908
0.2,0.475,0.47533014454877726,0.00033014454877727806,0.05293246584555758
0.2,0.5,-0.49966985545122294,0.9996698554512229,0.04743015932904129
0.2,0.525,-0.4746698554512233,0.9996698554512233,0.04507564537386997
0.2,0.55,-0.449669855451222,0.999669855451222,0.0460494963060666
0.35,-0.55,0.4487603315347204,0.9987603315347204,-0.13516984138357033
0.35,-0.525,0.47376033153472297,0.998760331534723,-0.14437517011075135
0.35,-0.5,0.4987603315347224,0.9987603315347224,-0.15923476904559644
0.35,-0.475,-0.4762396684652774,0.0012396684652773993,-0.1754246077928463
0.35,-0.45,-0.4512396684652785,0.0012396684652785095,-0.1859549646851088
0.35,-0.425,-0.42623966846527755,0.0012396684652775658,-0.18545250713555855
0.35,-0.4,-0.40123966846527653,0.001239668465276511,-0.17316175327334585
0.35,-0.375,-0.37623966846527684,0.0012396684652768442,-0.1537924242383115
0.35,-0.35,-0.35123966846527793,0.0012396684652779544,-0.13540403673001639
0.35,-0.325,-0.326239668465277,0.0012396684652770107,-0.1242649857822955
0.35,-0.3,-0.30123966846527767,0.0012396684652776768,-0.12082812209218463
0.35,-0.275,-0.27623966846527853,0.0012396684652785095,-0.12113880933889995
0.35,-0.25,-0.2512396684652775,0.0012396684652775103,-0.12147179453571041
0.35,-0.225,-0.226239668465278,0.0012396684652779821,-0.12045778318499507
0.35,-0.2,-0.201239668465277,0.001239668465276983,-0.11770231245083465
0.35,-0.175,-0.17623966846527767,0.0012396684652776768,-0.11237310719741653
0.35,-0.15,-0.1512396684652775,0.0012396684652775103,-0.10345930898026111
0.35,-0.125,-0.12623966846527748,0.0012396684652774825,-0.09072808154240077
0.35,-0.1,-0.10123966846527722,0.0012396684652772189,-0.07509799122790879
0.35,-0.075,-0.07623966846527748,0.0012396684652774825,-0.05787577521539767
0.35,-0.05,-0.051239668465277305,0.0012396684652773021,-0.03978173417017744
0.35,-0.025,-0.02623966846527737,0.001239668465277368,-0.020891259645303854
0.35,0.0,-0.0012396684652774227,0.0012396684652774227,-0.0011318729625340853
0.35,0.025,0.02376033153472253,0.0012396684652774721,0.019335177307580966
0.35,0.05,0.048760331534722465,0.001239668465277538,0.039962604481537725
0.35,0.075,0.07376033153472264,0.0012396684652773576,0.05978574739989906
0.35,0.1,0.09876033153472236,0.001239668465277649,0.07726267663269645
0.35,0.125,0.12376033153472263,0.0012396684652773715,0.09031210740648087
0.35,0.15,0.14876033153472268,0.001239668465277316,0.09726255330407856
0.35,0.175,0.17376033153472284,0.0012396684652771495,0.09823002675027291
0.35,0.2,0.19876033153472214,0.0012396684652778711,0.09534968031336216
