samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,adjacent_relative_power_db,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,proxy_tail_mean_abs_residual_cfo,half_sine_tail_mean_abs_residual_cfo,proxy_tail_peak_abs_residual_cfo,half_sine_tail_peak_abs_residual_cfo,proxy_tail_within_threshold_fraction,half_sine_tail_within_threshold_fraction,residual_ratio_half_to_proxy,absolute_gap_half_minus_proxy
4,3072,19,173,96,63,0.35,0.0,-3.0,1.2,96,0.02,8,0.05,0.003873224012843899,0.0341167024319477,0.004288850437978366,0.037433680485704265,1.0,1.0,8.808347340307241,0.0302434784191038
4,3072,19,173,96,63,0.35,0.0,-3.0,1.22,96,0.02,8,0.05,0.002722833092903052,0.03034233322996296,0.0029174602165588557,0.033111741169937016,1.0,1.0,11.143662573019608,0.02761950013705991
4,3072,19,173,96,63,0.35,0.0,-3.0,1.24,96,0.02,8,0.05,0.001996252432075017,0.026845464874309975,0.00217813313826663,0.029320975363651615,1.0,1.0,13.447930954506235,0.02484921244223496
4,3072,19,173,96,63,0.35,0.0,-3.0,1.26,96,0.02,8,0.05,0.0011930975592037395,0.023183844364076396,0.0013345031092886848,0.02530107600496647,1.0,1.0,19.431641767458686,0.021990746804872657
4,3072,19,173,96,63,0.35,0.0,-3.0,1.28,96,0.02,8,0.05,0.0007111700646405481,0.019819072182409542,0.0008200407825166513,0.021581928135938358,1.0,1.0,27.868259882995552,0.019107902117768995
4,3072,19,173,96,63,0.35,0.0,-3.0,1.3,96,0.02,8,0.05,0.00048525120294715205,0.0165297360702133,0.0005644624234693676,0.017976865951998957,1.0,1.0,34.06428664127089,0.01604448486726615
4,3072,19,173,96,63,0.35,0.0,-6.0,1.2,96,0.02,8,0.05,0.0024033620000506756,0.01886490050621125,0.0026725207293548997,0.020490178610992532,1.0,1.0,7.849379538252447,0.016461538506160577
4,3072,19,173,96,63,0.35,0.0,-6.0,1.22,96,0.02,8,0.05,0.00172871710007237,0.016727298892688355,0.0018507206435005375,0.018020627958136477,1.0,1.0,9.676134337994398,0.014998581792615985
4,3072,19,173,96,63,0.35,0.0,-6.0,1.24,96,0.02,8,0.05,0.0013580212358580569,0.014888930569466462,0.0014945978067579752,0.016076033569163765,1.0,1.0,10.963694952869414,0.013530909333608405
4,3072,19,173,96,63,0.35,0.0,-6.0,1.26,96,0.02,8,0.05,0.0008513949204479918,0.01283452983788184,0.0009731878095116996,0.013858810259062038,1.0,1.0,15.074708022839147,0.011983134917433847
4,3072,19,173,96,63,0.35,0.0,-6.0,1.28,96,0.02,8,0.05,0.0005589613661254401,0.010998150045089083,0.0006641995645009709,0.011850145355838913,1.0,1.0,19.67604688196092,0.010439188678963643
4,3072,19,173,96,63,0.35,0.0,-6.0,1.3,96,0.02,8,0.05,0.0004332106658087512,0.009177276020421198,0.0005186753100814407,0.009880089703346449,1.0,1.0,21.184326113689625,0.008744065354612446
4,3072,19,173,96,63,0.35,0.0,-9.0,1.2,96,0.02,8,0.05,0.0014783929134817991,0.009960589644709104,0.001668308135010597,0.01075736508420718,1.0,1.0,6.737444121840842,0.008482196731227305
4,3072,19,173,96,63,0.35,0.0,-9.0,1.22,96,0.02,8,0.05,0.0011030317751627612,0.00879653406174989,0.0011953977686010504,0.0093892841102908,1.0,1.0,7.974869137792418,0.007693502286587129
4,3072,19,173,96,63,0.35,0.0,-9.0,1.24,96,0.02,8,0.05,0.0009382365465105937,0.007889753783308102,0.0010531118882785686,0.008456425733471204,1.0,1.0,8.409130738565851,0.006951517236797508
4,3072,19,173,96,63,0.35,0.0,-9.0,1.26,96,0.02,8,0.05,0.0006308643961440968,0.006778034666996681,0.0007429041873482357,0.007273187559006508,1.0,1.0,10.744043741293174,0.006147170270852584
4,3072,19,173,96,63,0.35,0.0,-9.0,1.28,96,0.02,8,0.05,0.0004618263783798161,0.005818366339450526,0.0005657287788473409,0.006228378584793433,1.0,1.0,12.5986011450073,0.0053565399610707096
4,3072,19,173,96,63,0.35,0.0,-9.0,1.3,96,0.02,8,0.05,0.00039763068651797224,0.004847665761419763,0.000488330724194083,0.005186959979343941,1.0,1.0,12.191377390589437,0.004450035074901791
