design,samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,adjacent_enabled,adjacent_relative_power_db,orientation_sign,isolated_central_slope_wrt_deltaf_over_Rs,final_residual_cfo,tail_mean_abs_residual_cfo,tail_peak_abs_residual_cfo,tail_within_threshold_fraction,tail_mean_abs_detector_output
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.06,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.10008363253167091,0.0897557465260901,0.10008363253167091,0.0,0.14031505883467532
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.07,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.030752206579043314,0.028076831473588065,0.030752206579043314,1.0,0.03937113385482245
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.07,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.09869586679732154,0.08828799785132989,0.09869586679732154,0.0,0.14150500924740747
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.08,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0286191975289318,0.02608516577111831,0.0286191975289318,1.0,0.03856722495964806
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.08,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.09653816535516632,0.086381111883714,0.09653816535516632,0.0,0.13907406846267334
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.09,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.02720717217112983,0.024722140698164082,0.02720717217112983,1.0,0.03526396014114808
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.09,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.0951352574347102,0.08520127735751398,0.0951352574347102,0.0,0.13477220930740857
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.1,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.024278134836754235,0.022012699582668747,0.024278134836754235,1.0,0.03304591979058846
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.1,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.09256799881729603,0.08278780909830698,0.09256799881729603,0.0,0.13376761896035133
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.11,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.022397483846621075,0.020441993681972238,0.022397483846621075,1.0,0.02919048536586847
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.11,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.09032926535256577,0.08097748723560941,0.09032926535256577,0.0,0.12941313306278424
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.12,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.018997958516954377,0.017420641889996865,0.018997958516954377,1.0,0.02461017650835907
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.12,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.0870105991588712,0.07799603362526318,0.0870105991588712,0.0,0.12489015784720181
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.13,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.01841253098643491,0.016774904162799534,0.01841253098643491,1.0,0.025222376848214514
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.13,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.08558838234556357,0.0767908082599245,0.08558838234556357,0.0,0.12244937058401072
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.14,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.014610622847919889,0.013212977526382527,0.014610622847919889,1.0,0.019118121274358715
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.14,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.08155291265118716,0.07312718964760356,0.08155291265118716,0.0,0.11652964849098982
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.15,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.013717362486372063,0.012240242947630202,0.013717362486372063,1.0,0.02312998879059943
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.15,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.07967113917951794,0.07141255185000767,0.07967113917951794,0.0,0.11679243576643088
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.16,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.011983570782517878,0.011052094411754936,0.011983570782517878,1.0,0.016865241825812484
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.16,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.07646848760009956,0.06872799674022939,0.07646848760009956,0.0,0.1107686425896735
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.17,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.010914962768789862,0.0097071798507948,0.010914962768789862,1.0,0.016095998526254828
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.17,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.07355534256058785,0.06594016016256858,0.07355534256058785,0.0,0.10659351242208391
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.18,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.008321628796885744,0.007230174036653466,0.008321628796885744,1.0,0.013314952398671283
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.18,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.06945204627598221,0.06219609983043145,0.06945204627598221,0.0,0.1008502137166407
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.19,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.007471143017346946,0.006732362599891474,0.007471143017346946,1.0,0.012399155295247422
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.19,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.06619825094195302,0.05948551590798434,0.06619825094195302,0.0,0.09644796331819029
